DATE            TIME             ELAPSED      CPU      MEM      RSS    VSIZE
2010-10-18      11:32:50.38502     00:00      0.0      0.0      120  2425416
2010-10-18      11:32:51.54829     00:01     94.4      0.5    22968  2459748
2010-10-18      11:32:52.60187     00:02     98.3      1.0    40232  2481276
2010-10-18      11:32:53.73873     00:03    100.1      1.1    46536  2486552
2010-10-18      11:32:54.77746     00:04     56.0      1.3    53152  2498864
2010-10-18      11:32:55.84986     00:05      1.3      1.3    53152  2498864
2010-10-18      11:32:56.92659     00:06      0.0      1.3    53152  2498864
2010-10-18      11:32:57.106042    00:07     90.0      1.4    57312  2500912
2010-10-18      11:32:58.111102    00:08     92.0      1.4    57784  2500912
2010-10-18      11:32:59.120123    00:09     90.4      1.4    57784  2500912
2010-10-18      11:33:00.129714    00:10     91.4      1.4    57964  2500912
2010-10-18      11:33:01.138742    00:11     93.0      1.4    57964  2500912
2010-10-18      11:33:02.146865    00:12     19.0      1.4    58012  2500912
