DATE            TIME             ELAPSED      CPU      MEM      RSS    VSIZE
2010-10-18      11:33:49.908907    00:00      0.6      0.1     2356  2438836
2010-10-18      11:33:50.919983    00:01     96.4      0.5    22940  2460772
2010-10-18      11:33:51.928238    00:02    100.1      0.9    39664  2481276
2010-10-18      11:33:52.945212    00:03     97.7      1.1    45824  2487576
2010-10-18      11:33:53.948969    00:04     54.2      1.2    52260  2498864
2010-10-18      11:33:54.956474    00:05      1.3      1.2    52260  2498864
2010-10-18      11:33:55.963900    00:06      0.0      1.2    52260  2498864
2010-10-18      11:33:56.972531    00:07     61.0      1.3    54976  2508080
2010-10-18      11:33:57.987735    00:08     91.4      1.4    57196  2510128
2010-10-18      11:33:58.992791    00:09     93.8      1.4    57652  2510128
2010-10-18      11:34:00.6201      00:11     91.6      1.4    57652  2510128
2010-10-18      11:34:01.15648     00:12     93.8      1.4    57796  2510128
2010-10-18      11:34:02.25828     00:13     94.4      1.4    58248  2511152
2010-10-18      11:34:03.32248     00:14     21.2      1.4    58296  2511152
2010-10-18      11:34:04.39809     00:15      0.5      1.4    58296  2511152
