DATE            TIME             ELAPSED      CPU      MEM      RSS    VSIZE
2010-10-18      11:33:22.39445     00:00      0.0      0.0        8  2425416
2010-10-18      11:33:23.59829     00:01     96.8      0.6    23272  2460772
2010-10-18      11:33:24.76064     00:02     79.7      0.6    26868  2467748
2010-10-18      11:33:25.85705     00:03    100.1      0.9    38808  2483144
2010-10-18      11:33:26.89597     00:04     10.3      1.0    41900  2485324
2010-10-18      11:33:27.103149    00:05     40.2      1.0    43872  2486348
2010-10-18      11:33:28.107393    00:06     87.2      1.1    44540  2487372
2010-10-18      11:33:29.123373    00:07     89.6      1.1    44540  2487372
2010-10-18      11:33:30.133032    00:08     90.4      1.1    44588  2487372
2010-10-18      11:33:31.142682    00:09     89.5      1.1    44612  2487372
2010-10-18      11:33:32.146767    00:10     16.3      1.1    44612  2487372
2010-10-18      11:33:33.154628    00:11      0.3      1.1    44612  2487372
